2026-06-30 16:29:07,228 | INFO | 127.0.0.1 - - [30/Jun/2026 16:29:07] "[36mGET /static/script.js HTTP/1.1[0m" 304 -
2026-06-30 16:38:47,570 | INFO | ===================================
2026-06-30 16:38:47,570 | INFO | Organizer Started
2026-06-30 16:38:47,570 | INFO | Folder: C:\Users\Aarya\OneDrive\Desktop\Smart-File-Organizer\test_folder
2026-06-30 16:38:47,572 | INFO | Moved phot.jpg -> Images
2026-06-30 16:38:47,574 | INFO | Moved program.py -> Python_Code
2026-06-30 16:38:47,575 | INFO | Moved resume.pdf -> Documents
2026-06-30 16:38:47,575 | INFO | Organizer Finished
2026-06-30 16:38:47,576 | INFO | Moved: 3
2026-06-30 16:38:47,576 | INFO | Skipped: 0
2026-06-30 16:38:47,576 | INFO | Failed: 0
2026-06-30 16:38:47,620 | INFO | 127.0.0.1 - - [30/Jun/2026 16:38:47] "POST / HTTP/1.1" 200 -
2026-06-30 16:38:47,650 | INFO | 127.0.0.1 - - [30/Jun/2026 16:38:47] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
2026-06-30 16:38:47,651 | INFO | 127.0.0.1 - - [30/Jun/2026 16:38:47] "[36mGET /static/script.js HTTP/1.1[0m" 304 -
2026-06-30 16:38:57,703 | INFO | ===================================
2026-06-30 16:38:57,703 | INFO | Organizer Started
2026-06-30 16:38:57,703 | INFO | Folder: C:\Users\Aarya\OneDrive\Desktop\Smart-File-Organizer\test_folder
2026-06-30 16:38:57,705 | INFO | Organizer Finished
2026-06-30 16:38:57,705 | INFO | Moved: 0
2026-06-30 16:38:57,705 | INFO | Skipped: 0
2026-06-30 16:38:57,705 | INFO | Failed: 0
2026-06-30 16:38:57,711 | INFO | 127.0.0.1 - - [30/Jun/2026 16:38:57] "POST / HTTP/1.1" 200 -
2026-06-30 16:38:57,741 | INFO | 127.0.0.1 - - [30/Jun/2026 16:38:57] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
